name,followers,uri,popularity,genres
Taylor Swift,106350222,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,pop
Drake,86071336,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Ariana Grande,95555618,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,95,pop
The Weeknd,81391034,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,95,"canadian contemporary r&b, canadian pop, pop"
Beyoncé,36958984,spotify:artist:6vWDO969PvNqNYHIOW5v0m,92,"pop, r&b"
SZA,18788180,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,91,"pop, r&b, rap"
Olivia Rodrigo,34589473,spotify:artist:1McMsnEElThX1knmY4oliG,90,pop
Rihanna,59098045,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,90,"barbadian pop, pop, urban contemporary"
Ty Dolla $ign,5150894,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,88,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul"
Lana Del Rey,33678867,spotify:artist:00FQb4jTyendYWaN8pK0wa,90,"art pop, pop"
Lil Wayne,14302499,spotify:artist:55Aa2cqylxrFIXC767Z865,85,"hip hop, new orleans rap, pop rap, rap, trap"
Post Malone,43378313,spotify:artist:246dkjvS1zLTtiykXe5h60,88,"dfw rap, melodic rap, pop, rap"
Nicki Minaj,30726721,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,87,"hip pop, pop, queens hip hop, rap"
Billie Eilish,93029346,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,88,"art pop, pop"
Doja Cat,29289271,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,87,"dance pop, pop"
Bruno Mars,54155699,spotify:artist:0du5cEVh5yTK9QJze8zA0C,88,"dance pop, pop"
Justin Bieber,74298722,spotify:artist:1uNFoZAHBGtllmzznpCI3s,89,"canadian pop, pop"
Kali Uchis,6862694,spotify:artist:1U1el3k54VvEUzo3ybLPlM,85,colombian pop
Feid,10526223,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,91,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Rauw Alejandro,21106656,spotify:artist:1mcTU81TzQhprhouKaTkpq,88,"puerto rican pop, reggaeton, trap latino, urbano latino"
Don Toliver,4067589,spotify:artist:4Gso3d4CscCijv0lmajZWs,83,"pop rap, rap, trap"
Dua Lipa,42932059,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,88,"dance pop, pop, uk pop"
Tate McRae,5086822,spotify:artist:45dkTj5sMRSjrmBSBeiHym,85,pop
JAY-Z,8917213,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,84,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
USHER,11155465,spotify:artist:23zg3TcAtWQy7J6upgbUnj,83,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
